"number","title","pageid","namespace","length","touched"
"1","Výchova_k_volbě_povolání","346716","","2136","20230527131236"
"2","Fnord","141633","","1561","20171206123330"
"3","Axiom","14669","","6632","20230520171713"
"4","Mlčení_bolí","1114687","","3451","20230725220850"
"5","Go-Regiontour","538617","","1927","20220920160417"
"6","Toltékové","495315","","21032","20230625070807"
"7","Společenská_regulace","429894","","5887","20230425061513"
"8","Suchej_únor","1171390","","11001","20230630072948"
"9","1st_Business_Certificate","772219","","1857","20210221221441"
"10","Starověký_Egypt","143614","","123146","20230705132621"
"11","Profesní_sdružení","439598","","5139","20230604150148"
"12","Generace_alfa","1641744","","1511","20230322125635"
"13","Zemský_pedologický_ústav","1852701","","2993","20230508222343"
"14","Vzdělanostní_mobilita","1731659","","9192","20220206090428"
"15","Nolanův_diagram","619528","","3080","20221010233644"
"16","Manželé_Webbovi","406163","","3353","20230331121859"
"17","Verbální_komunikace","216589","","2789","20221113182547"
"18","Destinační_společnost","909660","","5421","20230404115249"
"19","Využití_počítačů_ve_výuce","169018","","3545","20210808194850"
"20","Mediální_studia","415369","","1606","20220401053151"
"21","Rituál","150719","","37776","20221218084219"
"22","Většina","245334","","4097","20230707205313"
"23","Právní_vztah","71342","","4233","20230501143039"
"24","Trivium","194205","","2289","20220807073437"
"25","Parasociální_interakce","1247636","","6628","20221113182149"
"26","Hitlerovy_deníky","1212063","","4782","20230607122114"
"27","Vzdělávání","255668","","3630","20230609125227"
"28","Parochiální_politická_kultura","175184","","593","20220725061316"
"29","Maturitní_ples","420697","","7276","20210808131315"
"30","Svaz_učitelů_tance_Praha","734369","","9816","20230603201525"
"31","Dyadický_efekt","853648","","5017","20210420052405"
"32","Mezinárodní_den_studentstva","423046","","9735","20230315175821"
"33","Revizionismus","169422","","4620","20220416150958"
"34","Sociální_pedagog","1344405","","9184","20221212091057"
"35","Veto","16848","","3915","20230706213152"
"36","In_memoriam","177820","","778","20221030180810"
"37","Reptiliáni","1461977","","9743","20230318215004"
"38","Koordinátor_podpory","1459119","","4716","20230102001057"
"39","Sedm_svobodných_umění","62192","","6184","20210719101753"
"40","Referenda_o_státním_zřízení","1385551","","14988","20220404213845"
"41","Dopravní_výchova","607661","","3711","20230401165850"
"42","Brána_jazyků_(vzdělávací_projekt)","85004","","2793","20220722190724"
"43","Peer_assessment","1456137","","10041","20220404205615"
"44","Kolektivní_inteligence","378528","","64342","20230615141109"
"45","Think_tank","7321","","7276","20220726212750"
"46","Smetí_dovnitř,_smetí_ven","1689299","","10979","20210810180017"
"47","Seznam_buněčných_typů_v_lidském_těle","480932","","21812","20230329070730"
"48","Kosmetika","286122","","9591","20230725084100"
"49","Letní_škola_moderních_učitelů","1407063","","7326","20230103121305"
"50","Vizuální_antropologie","298509","","7699","20210917061440"
"51","Klimatické_vzdělávání","1815939","","24359","20230414010901"
"52","Pohlavní_dimorfismus_u_lidí","1177683","","5052","20220425103721"
"53","Obecní_noviny_(časopis)","1455197","","7197","20221231172927"
"54","Parodické_náboženství","1563350","","3225","20220923234425"
"55","Velká_koalice","83919","","9590","20220519002734"
"56","Právo_na_život","36553","","20706","20230308123853"
"57","Klimatická_nouze","1520138","","12507","20221230102903"
"58","Kulturní_válka","1655289","","3729","20220714222757"
"59","Kolokvium","918469","","1310","20221212085812"
"60","Kofoedova_škola","393019","","3241","20220724191133"
"61","Flaška","220902","","1416","20230720062152"
"62","Rozhodné_testy","704262","","13359","20220128092611"
"63","Syndrom_vařené_žáby","1440985","","3704","20230505195113"
"64","Špalír","1061537","","778","20220207181354"
"65","Masové_sledování","992766","","5064","20230620185128"
"66","Sociální_spravedlnost","1002135","","11393","20220418085549"
"67","Elektronické_podvádění","496130","","16815","20221224075837"
"68","WikiLeaks","544120","","28423","20230323203555"
"69","Velká_výměna","1322476","","6505","20230512021028"
"70","Počáteční_vzdělávání","1501368","","6333","20210515055633"
"71","Sociální_hnutí","1153529","","11379","20220207231608"
"72","Politika","52","","17306","20230602090517"
"73","Teorie_konfliktů","1480157","","31548","20221204203118"
"74","UK_media","179965","","4476","20211105160347"
"75","Jednotnost_hlasování","1343564","","7534","20181205132407"
"76","Diagnostický_ústav","670328","","5843","20230309171913"
"77","Klika_(sociologie)","254937","","2046","20220929225110"
"78","Nejstarší_člověk","108935","","6310","20230602191658"
"79","Geografie_cestovního_ruchu","454427","","2934","20210723195350"
"80","Arbitrovaný_protokol","93940","","801","20120208160312"
"81","Slavnost_Rudého_práva","1017670","","1599","20180710154515"
"82","Sjezd_evangelické_mládeže","1710345","","5535","20221016052302"
"83","Agresivní_motivace_a_násilí","973987","","14197","20230325083612"
"84","Společenské_vědy","241926","","2464","20221231222613"
"85","Náboženská_společnost","8534","","3971","20211022155404"
"86","Whip","1803169","","1747","20230703205535"
"87","Další_vzdělávání","1132722","","14931","20230609124838"
"88","Informační_podpora","737167","","8205","20230511114925"
"89","Posibilianismus","971537","","3008","20221103133757"
"90","Elektronické_hlasování","1202851","","8003","20230606200317"
"91","Region_cestovního_ruchu","722842","","3497","20170211170940"
"92","Bliss_systém","746959","","2237","20220804164449"
"93","Vzdělávání_3.0","1181122","","3142","20200908164626"
"94","Politicky_exponovaná_osoba","621881","","4096","20230704215239"
"95","Krokodýlí_řeka_(hra)","273911","","3671","20210718131555"
"96","Výchovný_ústav","1544768","","5442","20220524142828"
"97","Liberalizace","1031319","","5588","20230722200615"
"98","Prstová_abeceda","389126","","5123","20230104183043"
"99","Mikromanagement","1622269","","5267","20220331093126"
"100","Společnost_pod_dohledem","1108690","","5622","20200608102435"
"101","Paralelní_společnost","1367388","","6792","20210916230107"
"102","Synchronní_výuka","71059","","1479","20181207094457"
"103","Design_pro_všechny","506657","","33371","20230607175522"
"104","Naděje","254489","","37176","20220206004641"
"105","Finanční_gramotnost","620313","","19283","20221225153844"
"106","Zpětná_vazba_v_komunikaci","856407","","9526","20220507221055"
"107","Industriální_společnost","515321","","13503","20200606195324"
"108","Spolek_českých_právníků_Všehrd","705504","","27173","20230702032631"
"109","Evropská_studia","904684","","1776","20221031091637"
"110","JK_Education","1461451","","10454","20230522125909"
"111","Cestovní_ruch_v_Paříži","699071","","16271","20221207132314"
"112","101_(vzdělávání)","1618561","","1387","20201005122439"
"113","Jan_Kočka","1324829","","3898","20230622211031"
"114","Jednání","689674","","14444","20221127190855"
"115","Kirkpatrickův_model","1564477","","2328","20220830164907"
"116","Selektivita_vzdělávacího_systému","1500141","","17311","20230114055645"
"117","Digitální_gramotnost","1144302","","13517","20230511094644"
"118","Seznam_rakouských_katolických_diecézí","1850708","","4168","20230617182514"
"119","Vzdělávací_politika","828400","","13727","20230106092634"
"120","Byrokracie","58671","","30152","20230520113553"
"121","Učitel_IN","1329477","","5509","20230120002557"
"122","Evropská_akademie_pro_demokracii","1867433","","5511","20230725081415"
"123","Gregoriánská_semiologie","840598","","583","20210806101311"
"124","Dějiny","1582113","","18182","20230517072628"
"125","Vzdělávací_standardy","1730059","","7012","20221212091601"
"126","Audience_u_císaře_Karla_I.","912051","","2781","20220503141904"
"127","NESARA","1817249","","11435","20230107053249"
"128","Informální_učení","1494659","","3584","20221228131225"
